content,score,at,thumbsUpCount,source,app_name,text,clean_text,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_label,cluster_id,topic_category
"I used to love this app. I've been using it for over a year, but they've disabled ""practice to earn more hearts"" in the free version. I thought it was a random bug, but it's happened to a couple of my friends with long streaks too. I think it's their way of getting people to do the paid version. We've all sent in bug reports but havent received any responses and theres nothing on the website. It's been a couple months. Without that feature, it's almost impossible to do multiple lessons in a day",2,2024-11-12 10:08:32,488,play_store,Duolingo,"I used to love this app. I've been using it for over a year, but they've disabled ""practice to earn more hearts"" in the free version. I thought it was a random bug, but it's happened to a couple of my friends with long streaks too. I think it's their way of getting people to do the paid version. We've all sent in bug reports but havent received any responses and theres nothing on the website. It's been a couple months. Without that feature, it's almost impossible to do multiple lessons in a day",i used to love this app i've been using it for over a year but they've disabled practice to earn more hearts in the free version i thought it was a random bug but it's happened to a couple of my friends with long streaks too i think it's their way of getting people to do the paid version we've all sent in bug reports but havent received any responses and theres nothing on the website it's been a couple months without that feature it's almost impossible to do multiple lessons in a day,0.9617,0.163,0.0,positive,1,Pricing & value
"No accented Polish letters to choose from on the phone app! I'm constantly told I have errors, when it's the app's fault for not giving me the correct Polish alphabet options! They provide those letters on a computer, yet you get more XP on the phone. Also, lessons are limited! I already reached the end after only 3 sections, and now am just given daily review lessons. No new content! They are not consistent with vocabulary - always switching ""go"" and ""walk."" Very confusing.",1,2024-10-20 20:41:15,543,play_store,Duolingo,"No accented Polish letters to choose from on the phone app! I'm constantly told I have errors, when it's the app's fault for not giving me the correct Polish alphabet options! They provide those letters on a computer, yet you get more XP on the phone. Also, lessons are limited! I already reached the end after only 3 sections, and now am just given daily review lessons. No new content! They are not consistent with vocabulary - always switching ""go"" and ""walk."" Very confusing.",no accented polish letters to choose from on the phone app i'm constantly told i have errors when it's the app's fault for not giving me the correct polish alphabet options they provide those letters on a computer yet you get more xp on the phone also lessons are limited i already reached the end after only 3 sections and now am just given daily review lessons no new content they are not consistent with vocabulary - always switching go and walk very confusing,-0.8532,0.045,0.165,negative,4,Other
"Not so slowly starting to make the free version unusable. 5 hearts, no way to get them back, with bugs in the ai powered lessons that fail you before you even get a chance to try. || The game-ification sounds good at first but it's predatory in nature and designed to get you to spend gems. Not to mention it's easy to lose yourself in the 'game' and forget to actually learn as opposed to just racking up xp to top leaderboards or slam out as many lessons as possible to get more xp during boost.",1,2024-12-12 06:30:37,1030,play_store,Duolingo,"Not so slowly starting to make the free version unusable. 5 hearts, no way to get them back, with bugs in the ai powered lessons that fail you before you even get a chance to try. || The game-ification sounds good at first but it's predatory in nature and designed to get you to spend gems. Not to mention it's easy to lose yourself in the 'game' and forget to actually learn as opposed to just racking up xp to top leaderboards or slam out as many lessons as possible to get more xp during boost.",not so slowly starting to make the free version unusable 5 hearts no way to get them back with bugs in the ai powered lessons that fail you before you even get a chance to try the game-ification sounds good at first but it's predatory in nature and designed to get you to spend gems not to mention it's easy to lose yourself in the 'game' and forget to actually learn as opposed to just racking up xp to top leaderboards or slam out as many lessons as possible to get more xp during boost,0.9069,0.213,0.11,positive,1,Pricing & value
"I used to love this app but they've made it nearly unusable. It's just constantly trying to get you to buy and use things for points, freezes, etc. You can't just use the app without being forced to participate in tedious annoying stuff that derails your learning. I paid for a subscription for years and finally canceled it because it's gotten so unpleasant to use. Edit: Took off another star, they somehow managed to make it even worse while doing absolutely nothing to make the courses better.",2,2024-12-09 22:23:43,610,play_store,Duolingo,"I used to love this app but they've made it nearly unusable. It's just constantly trying to get you to buy and use things for points, freezes, etc. You can't just use the app without being forced to participate in tedious annoying stuff that derails your learning. I paid for a subscription for years and finally canceled it because it's gotten so unpleasant to use. Edit: Took off another star, they somehow managed to make it even worse while doing absolutely nothing to make the courses better.",i used to love this app but they've made it nearly unusable it's just constantly trying to get you to buy and use things for points freezes etc you can't just use the app without being forced to participate in tedious annoying stuff that derails your learning i paid for a subscription for years and finally canceled it because it's gotten so unpleasant to use edit took off another star they somehow managed to make it even worse while doing absolutely nothing to make the courses better,-0.8233,0.091,0.163,negative,3,Pricing & value
"I have a 1,364-day streak. I just got switched from the heart to the energy system and it's awful: I can't even complete one ""legendary"" lesson without running out of energy, usually at the very last question (of course). Obviously a ploy to force learners to subscribe to the paid app. Every recent change has been for the worse (repetitive lessons, no explanations for mistakes, etc.). I was reluctant to let my streak go, but this does it.",1,2025-10-01 09:52:38,7066,play_store,Duolingo,"I have a 1,364-day streak. I just got switched from the heart to the energy system and it's awful: I can't even complete one ""legendary"" lesson without running out of energy, usually at the very last question (of course). Obviously a ploy to force learners to subscribe to the paid app. Every recent change has been for the worse (repetitive lessons, no explanations for mistakes, etc.). I was reluctant to let my streak go, but this does it.",i have a 1 364-day streak i just got switched from the heart to the energy system and it's awful i can't even complete one legendary lesson without running out of energy usually at the very last question of course obviously a ploy to force learners to subscribe to the paid app every recent change has been for the worse repetitive lessons no explanations for mistakes etc i was reluctant to let my streak go but this does it,-0.4019,0.066,0.121,negative,5,Other
"There's an ongoing increase of strange or inaccurate translations, and the use of AI is being pushed heavily. I primarily use it for review of Japanese (I've been learning from various sources for years), but I feel uneasy using it for Spanish, because I won't be able to detect those errors because I'm still a beginner in that language. Previously, I felt like Duolingo was a good way to start learning, but now I think using a well made Anki deck combined with a textbook would be the way to go.",1,2025-07-19 05:17:10,2431,play_store,Duolingo,"There's an ongoing increase of strange or inaccurate translations, and the use of AI is being pushed heavily. I primarily use it for review of Japanese (I've been learning from various sources for years), but I feel uneasy using it for Spanish, because I won't be able to detect those errors because I'm still a beginner in that language. Previously, I felt like Duolingo was a good way to start learning, but now I think using a well made Anki deck combined with a textbook would be the way to go.",there's an ongoing increase of strange or inaccurate translations and the use of ai is being pushed heavily i primarily use it for review of japanese i've been learning from various sources for years but i feel uneasy using it for spanish because i won't be able to detect those errors because i'm still a beginner in that language previously i felt like duolingo was a good way to start learning but now i think using a well made anki deck combined with a textbook would be the way to go,0.5423,0.11,0.076,positive,0,Other
"I used to love Dualingo until i was on a 150+ day streak and purchased a freeze and they didnt honor it. Now I'm back to 1 day. No way to contact them to correct it. edit: a new glitch: now occasionally, when I'm choosing words out of the word bank, they get locked up at the bottom of the page and don't register in my answer. there's no way to go back and correct it without losing a heart. This is a serious error and needs attention ASAP!",1,2025-07-23 14:19:15,2728,play_store,Duolingo,"I used to love Dualingo until i was on a 150+ day streak and purchased a freeze and they didnt honor it. Now I'm back to 1 day. No way to contact them to correct it. edit: a new glitch: now occasionally, when I'm choosing words out of the word bank, they get locked up at the bottom of the page and don't register in my answer. there's no way to go back and correct it without losing a heart. This is a serious error and needs attention ASAP!",i used to love dualingo until i was on a 150 day streak and purchased a freeze and they didnt honor it now i'm back to 1 day no way to contact them to correct it edit a new glitch now occasionally when i'm choosing words out of the word bank they get locked up at the bottom of the page and don't register in my answer there's no way to go back and correct it without losing a heart this is a serious error and needs attention asap,-0.7015,0.074,0.141,negative,4,Other
"Ive been studying Japanese for two years now and they aren't consistent. No two identical sentences are the same some times and that's frustrating when you arent paying for their ""premium plan"". They move the end of units further and further every time you finish a lesson and you think the unit is over. They ding you on the smallest mistyping. It just makes learning all the more frustrating. Update: What the hell is up with the icon?!?!?! It's disgusting to look at!!!!!!!!",1,2024-09-02 05:02:45,421,play_store,Duolingo,"Ive been studying Japanese for two years now and they aren't consistent. No two identical sentences are the same some times and that's frustrating when you arent paying for their ""premium plan"". They move the end of units further and further every time you finish a lesson and you think the unit is over. They ding you on the smallest mistyping. It just makes learning all the more frustrating. Update: What the hell is up with the icon?!?!?! It's disgusting to look at!!!!!!!!",ive been studying japanese for two years now and they aren't consistent no two identical sentences are the same some times and that's frustrating when you arent paying for their premium plan they move the end of units further and further every time you finish a lesson and you think the unit is over they ding you on the smallest mistyping it just makes learning all the more frustrating update what the hell is up with the icon it's disgusting to look at,-0.9186,0.033,0.15,negative,3,Pricing & value
"When I first started, I loved this. I would have given it 5 stars and I was strongly considering buying the super version. Then about 2 months ago I could only earn 1 heart. Tonight I can earn more hearts, but no practice at all, only through ads. This is ridiculous and makes me want to quit the entire app. I am learning Korean and it's hard, I go through hearts like nothing, this used to be a great option for people who are tight on funds, but the changes are ridiculous.",1,2025-02-22 09:48:42,747,play_store,Duolingo,"When I first started, I loved this. I would have given it 5 stars and I was strongly considering buying the super version. Then about 2 months ago I could only earn 1 heart. Tonight I can earn more hearts, but no practice at all, only through ads. This is ridiculous and makes me want to quit the entire app. I am learning Korean and it's hard, I go through hearts like nothing, this used to be a great option for people who are tight on funds, but the changes are ridiculous.",when i first started i loved this i would have given it 5 stars and i was strongly considering buying the super version then about 2 months ago i could only earn 1 heart tonight i can earn more hearts but no practice at all only through ads this is ridiculous and makes me want to quit the entire app i am learning korean and it's hard i go through hearts like nothing this used to be a great option for people who are tight on funds but the changes are ridiculous,0.9505,0.238,0.095,positive,1,Pricing & value
"This gamefied way to try and learn language is what you pay for it. Spend thousands of dollars, and you might get up to the basic traveler level of the language. Do the basic free, and you really won't learn much. I also wonder what they are teaching and excuse the AI Slop, but there has been a mix of formal and casual. Which compared to other language programs, I have studied, says, is a no good way. My final frustration is the game. They change the scoring criteria monthly, so it's a money pit",1,2025-06-08 12:04:50,480,play_store,Duolingo,"This gamefied way to try and learn language is what you pay for it. Spend thousands of dollars, and you might get up to the basic traveler level of the language. Do the basic free, and you really won't learn much. I also wonder what they are teaching and excuse the AI Slop, but there has been a mix of formal and casual. Which compared to other language programs, I have studied, says, is a no good way. My final frustration is the game. They change the scoring criteria monthly, so it's a money pit",this gamefied way to try and learn language is what you pay for it spend thousands of dollars and you might get up to the basic traveler level of the language do the basic free and you really won't learn much i also wonder what they are teaching and excuse the ai slop but there has been a mix of formal and casual which compared to other language programs i have studied says is a no good way my final frustration is the game they change the scoring criteria monthly so it's a money pit,-0.6071,0.053,0.082,negative,0,Other
"I was always on the fence if I wanted to keep doing this game. While I was learning words and general sentence structure, I never felt confident actually speaking Spanish. now they changed the game. before you lost hearts if you get an answer wrong. now instead of hearts,energy which can be lost just for answering a question, you can run out of energy mid game even when answering correctly, causing you to pay in jewels to keep playing or exit out. this seems like a good time to find another app.",2,2025-10-03 08:55:48,3300,play_store,Duolingo,"I was always on the fence if I wanted to keep doing this game. While I was learning words and general sentence structure, I never felt confident actually speaking Spanish. now they changed the game. before you lost hearts if you get an answer wrong. now instead of hearts,energy which can be lost just for answering a question, you can run out of energy mid game even when answering correctly, causing you to pay in jewels to keep playing or exit out. this seems like a good time to find another app.",i was always on the fence if i wanted to keep doing this game while i was learning words and general sentence structure i never felt confident actually speaking spanish now they changed the game before you lost hearts if you get an answer wrong now instead of hearts energy which can be lost just for answering a question you can run out of energy mid game even when answering correctly causing you to pay in jewels to keep playing or exit out this seems like a good time to find another app,0.9113,0.211,0.102,positive,5,Other
"I wish I could give zero stars. Duo was actually a great app when it started. Now, the best features are gone. Be very careful. Their free trial is extremely predatory. The page will force you to accept a ""gift"" of ""free days,"" but that will activate the free trial. Once the surprise free trial is over, it will auto-sign you up for the entire year, the most expensive option, without your approval. I was charged over $100 and they will not refund. Same thing happened to 3 family members.",1,2025-04-17 09:39:01,3647,play_store,Duolingo,"I wish I could give zero stars. Duo was actually a great app when it started. Now, the best features are gone. Be very careful. Their free trial is extremely predatory. The page will force you to accept a ""gift"" of ""free days,"" but that will activate the free trial. Once the surprise free trial is over, it will auto-sign you up for the entire year, the most expensive option, without your approval. I was charged over $100 and they will not refund. Same thing happened to 3 family members.",i wish i could give zero stars duo was actually a great app when it started now the best features are gone be very careful their free trial is extremely predatory the page will force you to accept a gift of free days but that will activate the free trial once the surprise free trial is over it will auto-sign you up for the entire year the most expensive option without your approval i was charged over 100 and they will not refund same thing happened to 3 family members,0.962,0.255,0.05,positive,3,Pricing & value
"too much repetition of some easy things, then"" you learned 25 new words today."" not enough explanation for how to construct sentences and tenses, just a lot of guessing. I've been doing this for 250 days and it goes back to review simple words, but I feel like I'm missing so much understanding. I like the game format, but even bought a book to try and understand more. when my year's up I'll try something else I think.",4,2025-03-23 11:10:55,8385,play_store,Duolingo,"too much repetition of some easy things, then"" you learned 25 new words today."" not enough explanation for how to construct sentences and tenses, just a lot of guessing. I've been doing this for 250 days and it goes back to review simple words, but I feel like I'm missing so much understanding. I like the game format, but even bought a book to try and understand more. when my year's up I'll try something else I think.",too much repetition of some easy things then you learned 25 new words today not enough explanation for how to construct sentences and tenses just a lot of guessing i've been doing this for 250 days and it goes back to review simple words but i feel like i'm missing so much understanding i like the game format but even bought a book to try and understand more when my year's up i'll try something else i think,0.6486,0.111,0.05,positive,4,Other
"The ads for Super are too much. It's cool that Super helps bring free learning to people if you buy it, but as one of those people who can only afford the free version of Duolingo right now, the number of times that I have to sit through the Super advertisements is not worth it and it makes me want to stop using the app. I feel like I'm being punished for not subscribing to it. Every single lesson I get a normal ad and then an ad for Super. I would give the app zero stars right now if I could.",1,2025-03-26 10:26:55,1365,play_store,Duolingo,"The ads for Super are too much. It's cool that Super helps bring free learning to people if you buy it, but as one of those people who can only afford the free version of Duolingo right now, the number of times that I have to sit through the Super advertisements is not worth it and it makes me want to stop using the app. I feel like I'm being punished for not subscribing to it. Every single lesson I get a normal ad and then an ad for Super. I would give the app zero stars right now if I could.",the ads for super are too much it's cool that super helps bring free learning to people if you buy it but as one of those people who can only afford the free version of duolingo right now the number of times that i have to sit through the super advertisements is not worth it and it makes me want to stop using the app i feel like i'm being punished for not subscribing to it every single lesson i get a normal ad and then an ad for super i would give the app zero stars right now if i could,0.9682,0.247,0.068,positive,1,Pricing & value
"The app is great for learning languages, and it drills the words in your brain. Although it is annoying to run out of hearts, the app is extremely helpful. You can choose between beginner and intermediate levels, which is great, and the leaderboard motivates you to do more. Also, Duolingo does not have any ads unless you choose one to get a heart. This helps you focus better on the language you are learning. It allows you to reveiw skills in case you forgot and that alone is very helpful.",5,2025-07-09 01:26:11,18200,play_store,Duolingo,"The app is great for learning languages, and it drills the words in your brain. Although it is annoying to run out of hearts, the app is extremely helpful. You can choose between beginner and intermediate levels, which is great, and the leaderboard motivates you to do more. Also, Duolingo does not have any ads unless you choose one to get a heart. This helps you focus better on the language you are learning. It allows you to reveiw skills in case you forgot and that alone is very helpful.",the app is great for learning languages and it drills the words in your brain although it is annoying to run out of hearts the app is extremely helpful you can choose between beginner and intermediate levels which is great and the leaderboard motivates you to do more also duolingo does not have any ads unless you choose one to get a heart this helps you focus better on the language you are learning it allows you to reveiw skills in case you forgot and that alone is very helpful,0.9778,0.254,0.041,positive,0,Other
"Just finished my free trial, and have came to the conclusion that Super is just too expensive for what you get out of this service, as well as they don't provide more than 3 pricing options. I was heavily invested in Duolingo up until this point, basically feeling required to pay in order to proceed is not how I want my learning experience to ultimately be. Back to the books I guess!",1,2024-08-21 11:28:46,354,play_store,Duolingo,"Just finished my free trial, and have came to the conclusion that Super is just too expensive for what you get out of this service, as well as they don't provide more than 3 pricing options. I was heavily invested in Duolingo up until this point, basically feeling required to pay in order to proceed is not how I want my learning experience to ultimately be. Back to the books I guess!",just finished my free trial and have came to the conclusion that super is just too expensive for what you get out of this service as well as they don't provide more than 3 pricing options i was heavily invested in duolingo up until this point basically feeling required to pay in order to proceed is not how i want my learning experience to ultimately be back to the books i guess,0.8473,0.136,0.033,positive,3,Pricing & value
"I have been using Duolingo for ~7 years. I have noticed recently that lessons have felt strange. I don't know how to explain it but over the last 5 to 6 months mostly, maybe? The structure has been different, more difficult to follow, originally I thought this was maybe that the team was just going a little bit nuts w memeification. But also their bullying feature in the feed was a terrible choice. I'll be quitting, and switching to smth else when my sub runs out or before if it keeps going",1,2025-10-02 22:45:54,2622,play_store,Duolingo,"I have been using Duolingo for ~7 years. I have noticed recently that lessons have felt strange. I don't know how to explain it but over the last 5 to 6 months mostly, maybe? The structure has been different, more difficult to follow, originally I thought this was maybe that the team was just going a little bit nuts w memeification. But also their bullying feature in the feed was a terrible choice. I'll be quitting, and switching to smth else when my sub runs out or before if it keeps going",i have been using duolingo for 7 years i have noticed recently that lessons have felt strange i don't know how to explain it but over the last 5 to 6 months mostly maybe the structure has been different more difficult to follow originally i thought this was maybe that the team was just going a little bit nuts w memeification but also their bullying feature in the feed was a terrible choice i'll be quitting and switching to smth else when my sub runs out or before if it keeps going,-0.9526,0.0,0.164,negative,4,Other
"The app was useful and fun to use for learning. I dropped my rating down to 1 star because they changed how the teaching is accessed. It used to be that you had hearts and lost one for every wrong answer, but now they have an energy system, where every question costs energy. It is obviously a ploy to force people to buy their premium packages, which is going to make a lot of free users, like me, go and find a better app. I do not recommend this app.",1,2025-09-14 09:34:29,3661,play_store,Duolingo,"The app was useful and fun to use for learning. I dropped my rating down to 1 star because they changed how the teaching is accessed. It used to be that you had hearts and lost one for every wrong answer, but now they have an energy system, where every question costs energy. It is obviously a ploy to force people to buy their premium packages, which is going to make a lot of free users, like me, go and find a better app. I do not recommend this app.",the app was useful and fun to use for learning i dropped my rating down to 1 star because they changed how the teaching is accessed it used to be that you had hearts and lost one for every wrong answer but now they have an energy system where every question costs energy it is obviously a ploy to force people to buy their premium packages which is going to make a lot of free users like me go and find a better app i do not recommend this app,0.9534,0.217,0.058,positive,5,Other
